feature,rsi,category,correction
CentralMoment_1_1,1036113.75,high,moment_rotation_correction
InertiaTensor_0_1,427775.0,high,moment_rotation_correction
InertiaTensor_1_0,427775.0,high,moment_rotation_correction
CentralMoment_1_3,421663.84375,high,moment_rotation_correction
NormalizedMoment_3_3,346883.3125,high,moment_rotation_correction
NormalizedMoment_3_1,152885.3125,high,moment_rotation_correction
NormalizedMoment_1_3,43372.574219,high,moment_rotation_correction
NormalizedMoment_1_1,30353.916016,high,moment_rotation_correction
HuMoment_4,794.380005,test_artefact,
NormalizedMoment_2_2,254.238617,high,moment_rotation_correction
Granularity_6,48.647114,high,
CentralMoment_2_1,34.821255,high,moment_rotation_correction
HuMoment_5,34.458817,test_artefact,
CentralMoment_2_3,18.11096,high,moment_rotation_correction
HuMoment_3,16.540394,test_artefact,
NormalizedMoment_3_2,15.154564,high,moment_rotation_correction
HuMoment_6,14.578012,test_artefact,
CentralMoment_1_0,13.688272,high,moment_rotation_correction
InertiaTensor_1_1,8.602487,high,moment_rotation_correction
NormalizedMoment_3_0,8.229285,high,moment_rotation_correction
NormalizedMoment_2_0,7.877635,high,moment_rotation_correction
SpatialMoment_2_0,6.671784,high,moment_rotation_correction
CentralMoment_2_0,6.393626,high,moment_rotation_correction
Center_Y,5.638931,high,
Location_CenterMassIntensity_Y,5.344895,high,convert_to_distance_from_centroid
Center_X,5.214594,high,
Granularity_3,4.389052,high,
Zernike_5_1,4.043367,test_artefact,
RadialDistribution_ZernikePhase_4_4,4.034132,high,phase_minus_m_times_orientation
Extent,3.921066,high,
Zernike_5_5,3.823194,test_artefact,
Location_MaxIntensity_Y,3.748785,high,convert_to_distance_from_centroid
NormalizedMoment_2_3,3.518361,high,moment_rotation_correction
Zernike_7_1,3.272163,test_artefact,
CentralMoment_0_3,3.17944,high,moment_rotation_correction
Zernike_3_3,2.927991,test_artefact,
SpatialMoment_2_1,2.887498,high,moment_rotation_correction
SpatialMoment_2_2,2.862123,high,moment_rotation_correction
SpatialMoment_2_3,2.86074,high,moment_rotation_correction
RadialDistribution_ZernikePhase_6_6,2.474732,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_2_2,2.172742,high,phase_minus_m_times_orientation
Zernike_9_1,2.17101,test_artefact,
Zernike_1_1,2.133783,test_artefact,
Zernike_9_3,1.999058,test_artefact,
RadialDistribution_ZernikePhase_4_2,1.928812,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_8_8,1.824479,high,phase_minus_m_times_orientation
Zernike_7_5,1.677241,test_artefact,
NormalizedMoment_2_1,1.65541,high,moment_rotation_correction
Zernike_3_1,1.646915,test_artefact,
BoundingBoxMinimum_Y,1.629402,high,
Zernike_7_3,1.546975,test_artefact,
BoundingBoxMaximum_Y,1.46484,high,
RadialDistribution_ZernikePhase_5_5,1.408571,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_6_4,1.242102,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_9_9,1.233733,high,phase_minus_m_times_orientation
CentralMoment_2_2,1.187804,high,moment_rotation_correction
RadialDistribution_ZernikePhase_6_2,1.179858,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_1_1,1.172593,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_8_4,1.165715,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_5_3,1.160128,high,phase_minus_m_times_orientation
NormalizedMoment_1_2,1.148977,high,moment_rotation_correction
RadialDistribution_ZernikePhase_8_6,1.136552,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_9_7,1.113308,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_8_2,1.085974,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_9_3,1.062164,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_7_3,1.048053,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_7_7,1.022233,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_3_1,1.021347,high,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_7_5,0.98942,moderate,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_9_1,0.973285,moderate,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_7_1,0.973151,moderate,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_3_3,0.948281,moderate,phase_minus_m_times_orientation
RadialDistribution_ZernikePhase_5_1,0.948217,moderate,phase_minus_m_times_orientation
RadialDistribution_ZernikeMagnitude_9_9,0.930426,moderate,
Correlation_10_01_256,0.909566,moderate,
RadialDistribution_ZernikePhase_9_5,0.879304,moderate,phase_minus_m_times_orientation
Zernike_9_9,0.848341,test_artefact,
RadialDistribution_ZernikeMagnitude_7_7,0.828033,moderate,
CentralMoment_0_1,0.815868,moderate,moment_rotation_correction
RadialDistribution_ZernikeMagnitude_5_5,0.813835,moderate,
Zernike_9_7,0.783705,test_artefact,
HuMoment_2,0.754123,test_artefact,
RadialDistribution_ZernikeMagnitude_9_7,0.752283,moderate,
RadialDistribution_ZernikeMagnitude_9_3,0.709335,moderate,
NormalizedMoment_0_3,0.684848,moderate,moment_rotation_correction
RadialDistribution_ZernikeMagnitude_3_3,0.651066,moderate,
RadialDistribution_ZernikeMagnitude_9_1,0.634949,moderate,
Location_MaxIntensity_X,0.628526,moderate,convert_to_distance_from_centroid
Zernike_5_3,0.605157,test_artefact,
RadialDistribution_ZernikeMagnitude_9_5,0.597969,moderate,
Location_CenterMassIntensity_X,0.587861,moderate,convert_to_distance_from_centroid
NormalizedMoment_0_2,0.572697,moderate,moment_rotation_correction
SpatialMoment_1_0,0.556954,moderate,moment_rotation_correction
Correlation_10_03_256,0.551551,moderate,
Contrast_10_03_256,0.528984,moderate,
RadialDistribution_ZernikeMagnitude_7_5,0.525331,moderate,
Zernike_7_7,0.516407,test_artefact,
SpatialMoment_1_3,0.496024,moderate,moment_rotation_correction
RadialDistribution_ZernikeMagnitude_7_3,0.457878,moderate,
Zernike_9_5,0.453431,test_artefact,
RadialDistribution_ZernikeMagnitude_7_1,0.44332,moderate,
SpatialMoment_1_2,0.421617,moderate,moment_rotation_correction
RadialDistribution_ZernikeMagnitude_1_1,0.407809,moderate,
RadialDistribution_ZernikeMagnitude_5_1,0.405968,moderate,
Orientation,0.395961,moderate,
Contrast_10_01_256,0.382546,moderate,
RadialDistribution_ZernikeMagnitude_3_1,0.327735,moderate,
RadialDistribution_ZernikeMagnitude_5_3,0.298499,moderate,
SpatialMoment_1_1,0.277543,moderate,moment_rotation_correction
Granularity_5,0.261417,moderate,
Variance_10_03_256,0.258188,moderate,
Granularity_7,0.250705,moderate,
BoundingBoxArea,0.23477,moderate,
Correlation_10_02_256,0.229388,moderate,
BoundingBoxMaximum_X,0.201027,moderate,
Variance_10_01_256,0.200527,moderate,
BoundingBoxMinimum_X,0.199998,moderate,
Correlation_10_00_256,0.19816,moderate,
InfoMeas2_3_00_256,0.194581,moderate,
InertiaTensor_0_0,0.185698,moderate,moment_rotation_correction
SpatialMoment_0_3,0.169882,moderate,moment_rotation_correction
Granularity_2,0.163395,moderate,
SumVariance_10_03_256,0.157879,moderate,
Intensity_MinIntensityEdge,0.153465,moderate,
Intensity_MinIntensity,0.153465,moderate,
SpatialMoment_0_2,0.142424,moderate,moment_rotation_correction
InfoMeas1_3_00_256,0.140369,moderate,
Contrast_10_00_256,0.136863,moderate,
CentralMoment_0_2,0.131957,moderate,moment_rotation_correction
SumVariance_10_01_256,0.124695,moderate,
RadialDistribution_RadialCV_1of4,0.124249,moderate,
RadialDistribution_MeanFrac_1of4,0.119176,moderate,
Correlation_5_03_256,0.111907,moderate,
InfoMeas1_10_03_256,0.106366,moderate,
InfoMeas1_10_01_256,0.105583,moderate,
Correlation_5_01_256,0.100025,moderate,
CentralMoment_1_2,0.097743,low,moment_rotation_correction
InfoMeas2_5_00_256,0.097327,low,
InfoMeas1_3_02_256,0.094107,low,
RadialDistribution_MeanFrac_3of4,0.089803,low,
Zernike_8_8,0.086298,low,
Zernike_8_0,0.083738,low,
Solidity,0.082689,low,
InfoMeas1_5_00_256,0.081127,low,
Zernike_8_4,0.080125,low,
SpatialMoment_0_1,0.079885,low,moment_rotation_correction
Zernike_8_6,0.078445,low,
Contrast_10_02_256,0.075024,low,
RadialDistribution_ZernikePhase_2_0,0.073827,low,phase_minus_m_times_orientation
RadialDistribution_MeanFrac_2of4,0.072543,low,
Correlation_5_00_256,0.068653,low,
Correlation_5_02_256,0.066973,low,
Contrast_5_03_256,0.065394,low,
RadialDistribution_ZernikePhase_8_0,0.062441,low,phase_minus_m_times_orientation
Contrast_5_01_256,0.061121,low,
Zernike_6_0,0.05911,low,
Granularity_4,0.058792,low,
SumVariance_10_00_256,0.05872,low,
Contrast_5_00_256,0.057469,low,
RadialDistribution_RadialCV_2of4,0.057454,low,
Correlation_3_00_256,0.055969,low,
InfoMeas2_3_02_256,0.054788,low,
InfoMeas1_10_00_256,0.054175,low,
Variance_10_00_256,0.052738,low,
InfoMeas1_3_01_256,0.052035,low,
